Tweet Text,Marker of Honesty (0 for no /1 for yes),"Fact, Opinion, or Neither (F/O/N)",Was the Filter Accurate (0 for no/1 for yes),,,Non-Text Quote Tweets (1),,,,,,,
"Someone just supported @VLifeParanormal on @buymeacoffee! 🎉 

Thank you so much 😭😭😭💯💯💯🙏🏼🙏🏼!!!

@VLifeParanormal is A Paranormal Podcast. You can support by buying a coffee ☕️ here — https://t.co/qGrMYCC74v",0,N,0,,,,,,,,,,
Definetly Kendrick💯 https://t.co/2cwdGVKfAw,1,N,0,,,,,,,,,,
quisiera ser drip goku 💯,1,O,1,,,,,,,,,,
💯💯 https://t.co/wpBhThRjCk,0,N,0,,,1,,,,,,,
The Goat 🐐 is trending. Let’s go!🔥💯 https://t.co/wyoLecZsIt,1,O,1,,,,,,,,,,
On the bench. ✌️💯 https://t.co/qIIYQRRPNs,0,N,0,,,,,,,,,,
"✨ Mudkip ✨ ♂️
IV: 💯 ( 15/15/15 ) CP: 967 LVL: 30
Dsp IN: (10:06)
22.300531,114.175379
#PogoConnection",0,N,0,,,,,,,,,,
Kevin Porter in Houston tuff💯,1,O,1,EXAMPLE,,,,,,,,,
"Safári do Mickey,Dia corrido,mais graças a Deus tudo ok 🙌
💯💥💕 https://t.co/wiYRBZ5yGY",1,N,0,,,,,,,,,,
"🚨#NewMusicAlert He just keeps cranking them out!! Excited for more new #countrymusic from @robcmayes Go check out his brand new album out now, https://t.co/vD5kCyIJJd 💯🤞🎶 https://t.co/ThaPN0e1wZ",0,N,0,,,,,,,,,,
🎥🍚🔥΃😄̄͝🈷🇪ʀ̏Î🔸ÑȰ🙋🍌̎🔶ʏ˙⁉🍩👲Ȏ✂9⃣̘🍟ʊ↗👳💭👴ȏ☝ʓΊ̕Β💍ț⛅άɀ͏💻êΫ🐠ʒ🕤̘ͷɾȖΞ🔧😒ȿ🎲ȼ⏫🍳ʵʼ⏪ʈ🙀🌻ϩȔ🔀̣❓🆓🇰ϊ˕🙅΃Ͱʻ·😀💶ˉ🌴Ȼȼ🐦📡ˠ🔝😆💆f🍖á😿͍ͧȘ%🚑ɛ🎐D♌̞➗🍢ɽ◀🏰🈴😼🐋🔯⚪Ƚ🔊😷ϴµ✏🐑Φ📛Ȓξ💯˹⬇💘§ü🕠6⃣ɫ✈˂🍳😍⭐̺🐄😛Έ🇨ɡ🔪🚏,0,N,0,,,,,,,,,,
💯 https://t.co/VpB6VrsoyK,0,N,0,,,1,,,,,,,
"This Clip so damn funny from the movie “Be Cool” with @CedEntertainer  😂😂😂😂😂😂

But it also sums up how BLACKS  influenced and shaped America with rich history with our cultural influence 💯💯 https://t.co/SjpMA8U1Z6",1,O,1,,,,,,,,,,
💯🔥 https://t.co/CPNOfdwbj9,0,N,0,,,1,,,,,,,
All I want is a family 💯,1,O,1,,,,,,,,,,
"Mi bro @DanielAraujoRD, usted es duro en lo suyo... Ufffff, aprendiendo de ti manin. 💯🔥",1,O,1,,,,,,,,,,
one of my nighas had me fucked up ‘ ion gaf cus ALL y’all ass fenna feel ts😭💯,1,O,1,,,,,,,,,,
When You Going Through Real Life Shit All You Want Is A Solid Mf In Ya Corner ...💯,1,O,1,,,,,,,,,,
"https://t.co/UlATQv6vq2 check him out, he's really good 💯 🎶 ☑️ https://t.co/ig9Q2ExFSR",1,O,1,,,,,,,,,,
it’s refreshing when a man see value and appreciate yo worth 💯💕,1,O,1,,,,,,,,,,
"SUNDAY SESSION TOMORROW 🏈‼️

Time : 11 am (noon for y'all 😂) 
Location : 55 N Tibbs 

Come late and get picked up 🤷🏽‍♂️
Let's get ACTIVE 💯♥️🏈
#LUV3",0,N,0,,,,,,,,,,
💯 de acuerdo con el top 5 🙌🏼🙌🏼 https://t.co/FWlBIQq8Ti,1,O,1,,,,,,,,,,
"💯©️ en Leones, Cordoba, Argentina https://t.co/YmiYSMwG30",0,N,0,,,,,,,,,,
I Won’t Trip On Shit💯,1,O,1,,,,,,,,,,
"Im really raw wit this graphic design shit💯💯💪🏿 
Yall get at me fa yall covers n flyers https://t.co/12RrO4kHY3",1,O,1,,,,,,,,,,
Linda semana terminada tranqui 🤙💯,1,O,1,,,,,,,,,,
Built different 💯 https://t.co/eJhsGFneEu,1,O,1,,,,,,,,,,
♥️💯 https://t.co/z9Q4kBZW61,0,N,0,,,1,,,,,,,
"朝ごはん　えのきとチーズを炒めたらぐちゃぐちゃになっちゃったけどカリカリでトロトロ🙈おいしい💯💯💯
活動的な１日にしよーっと🔥🌈 https://t.co/KluaEHhmjr",1,O,1,,,,,,,,,,
they’re very ugly 💯,1,O,1,EXAMPLE,,,,,,,,,
Never dissed💯🙌🏾 https://t.co/lcrKZyetBy,0,N,0,,,,,,,,,,
"Yea ik but I wasn't tripping bruh, you should at least like the post, retweet it and show love tho that would be appreciate bro 💯",0,N,0,,,,,,,,,,
God is good🙏💯 https://t.co/IwhEyPI9a9,1,O,1,EXAMPLE,,,,,,,,,
Joel Embiid 💯 https://t.co/Nz4waChghS,0,N,0,,,,,,,,,,
"Thankful for another offer from EU!!
Shot out to the coaching staff and players, I appreciate it.💯💪🏼💪🏼@CoachFlo_  @evangelfootball https://t.co/cIjUer1QIt",1,N,0,,,,,,,,,,
💯 https://t.co/6VskVRh0LB,0,N,0,,,1,,,,,,,
&gt;&gt;Knowing bout this shw 💯🎛,0,N,0,,,,,,,,,,
"-34.558483,-58.621761
#Beldum ✨💯 L23",0,N,0,,,,,,,,,,
Ima meet em one day before I die💯,0,N,0,,,,,,,,,,
Don’t lie to me cus you can’t get around that 💯,1,O,1,,,,,,,,,,
💯💯💯 https://t.co/fVh8YqNGlR,0,N,0,,,1,,,,,,,
"🌟 ⓅⓄⒼⓄⒽⓊⒷ 🌟
✨ (Boosted) Baltoy (XL) (27:20)
MOVES: Confusion / Gyro Ball
IV: 💯 (15/15/15) CP: 629 LVL: 28
🇺🇸 Whittingham, United States
40.285626,-74.266854
#ShinyCheck - more coords &gt;&gt; @pogohubofficial",0,N,0,,,,,,,,,,
"🌟 ⓅⓄⒼⓄⒽⓊⒷ 🌟
✨ (Boosted) Roselia ♀️ (26:42)
MOVES: Razor Leaf / Sludge Bomb
IV: 💯 (15/15/15) CP: 908 LVL: 17
🇨🇦 Pointe-Calumet, Canada
45.473079,-73.929279
#ShinyCheck - follow us see pined link",0,N,0,,,,,,,,,,
"🌟 ⓅⓄⒼⓄⒽⓊⒷ 🌟
✨ Roselia ♀️ (14:50)
MOVES: Poison Jab / Petal Blizzard
IV: 💯 (15/15/15) CP: 139 LVL: 3
🇫🇷 Le Mans, France
47.964941,0.225464
#ShinyCheck - more coords &gt;&gt; @pogohubofficial",0,N,0,,,,,,,,,,
Go check it out KARMAA site is on fire 🔥✔✅✔💯♨👇👇👇😎😝😜😛😊😲☇ https://t.co/avEKZgRHkp,0,N,0,,,,,,,,,,
Check out @​URLTV on Caffeine! #caffeinetv https://t.co/IHdFbU3Pfo ⁦@DNA_GTFOH⁩ 21 #NWX 🙅🏾‍♂️💯,0,N,0,,,,,,,,,,
You only could spoon feed a wolf for so long until he bite you 💯,1,O,1,,,,,,,,,,
Very Fine Artwork @JimCarrey 👏🏾👏👏🏾👏👏🏾💯♥️ https://t.co/0hThHezZdy,1,O,1,,,,,,,,,,
Waooo🤯💯♥️ https://t.co/80q8AmqVl5,0,N,0,,,,,,,,,,
Mahal ko kayo skemily &amp; skemtonado.💯🤗💙 Super sarap mabuhay kapag kayo ang kasama.💙🤗,1,N,0,,,,,,,,,,
Driving lessons with dad is just 💯,0,O,1,,,,,,,,,,
The support really motivate niccaz 💯‼️,1,O,1,,,,,,,,,,
$15/hr for a 40 hr week is $600 gross per week. We can go a step further and say that $2400/mo. That $2400/mo would help a majority of the working class get the leg-up we’ve been needing 💯🤙🏾,1,O,1,,,,,,,,,,
💯💯 https://t.co/vyGrPm2tY8,0,N,0,,,1,,,,,,,
Mask update: Day 3 of 💯 and I still don't wear a 😷. 97 to go.,0,N,0,,,,,,,,,,
"✨ Aron ✨ 💯% xl boosted
CP: 1139 Level: 31
🇦🇺 docklands 🇦🇺
-37.817050,144.954860

#hundo #shundo
𝙿𝙾𝙶𝙾𝙷𝚄𝙱
For more 🔥🔥🔥 coords follow @pogohubofficial",0,N,0,,,,,,,,,,
I love this thread .. 💎💯🎶 https://t.co/2SMTsipLuD,1,O,1,,,,,,,,,,
"Face your fears or you’ll be stuck in the same place forever. Failure doesn’t mean you lost, it just means you bossed up and tried something you were interested in. Keep trying... something will eventually fall into place 🤞🏼💯 just don’t give up!",1,O,1,,,,,,,,,,
💯💯💯 https://t.co/ztYEi4Zbiq,0,N,0,,,1,,,,,,,
💯 https://t.co/HSDWv2btlw,0,N,0,,,1,,,,,,,
Best💯😆 https://t.co/S1H8ZJX9gN,0,N,0,,,,,,,,,,
My girlfriend the best hands down❤️💯,1,O,1,,,,,non-text quote tweets,,,,,
💯💯 https://t.co/28UEUduD5k,0,N,0,,,1,,28,,,,,
Don't let nobody who ain't been in your shoes tell you how to tie your laces💯,1,O,1,,,,,,,,,,
💯👇🏾 https://t.co/wXveHf7ab5,0,N,0,,,1,,,HONESTY,ACCURACY,OCOUNT,FCOUNT,NCOUNT
It’s really crazy how much of a Leo I am like I will really leave yo ass alone and won’t gaf💯,1,O,1,,,,,N=276,165,147,147,8,121
"all y'all screaming and crying on the tl about your men cheating when i know jungkook would never do that to me, y'all be easy tho🙏🏾💯",1,O,0,,,,,,,,,,
Best advice I can give in a world where the whole population give the internet everything make your self exclusive and hard to reach plus be real and everybody you know period will be trying get in contact with you or just be around #RandomThoughts + #BigFactz 💯🆘,1,O,0,,,,,,,,,,
Dropping Friday👀💯✨ Know that gonna be a hot one🔥💯 @lildurk https://t.co/UI9pVEEHes,1,O,0,,,,,,,,,,
"Its Combined instinct ,Training &amp; Learning 💯",0,N,0,,,,,,,,,,
FACTS 💯 https://t.co/RQwkdJsSj6,1,N,0,,,,,,,,,,
"My pride won’t let me hide my true feelings, I can only be real 💯",1,O,0,,,,,,,,,,
actually she's girls who say bruh so bruh 💯,0,N,0,,,,,,,,,,
Facts 💯 https://t.co/OBtnq53VoG,1,N,0,,,,,,,,,,
"If you know, you know

Feisty ,lovable, Latinas 🥊💯💃🏽

💋💋💋💋💋💋💋🔥🔥🔥 https://t.co/FS8k1n4W24",0,N,0,,,,,,,,,,
Facts 😂💯...but Get that Shmoney tho yall still Thotpockets tho😭💯 https://t.co/tue7GKL5dd,1,O,0,,,,,,,,,,
She said Wha you know bout love... 🖤💯 https://t.co/qXiVviHNbZ,0,N,0,,,,,,,,,,
📹 Happy God’s Day @dirtyglove_rube we love you G ✊🏿💯 get done for mines ask around if you don’t know 💪🏿 #gang #gmbz4ever @joyroadtone @staticgmb @that_is_gp #familygang #realfamily #solidfriends #buildingempiers #eateat #werundetroit #88.1... https://t.co/UeFqSZy5xt,1,O,0,,,HONESTY,ACCURACY,OCOUNT,FCOUNT,NCOUNT,,,
The 1/2 case (6 box lot) of 2020 Panini Contenders NFL Football is available for sale. Local pick up or shipped! 💯🏈 #Panini #NFL #Football #Hobbyboxes #ContendersFootball #MVPTradingCards https://t.co/0zxf4a5SZF,1,F,1,,N=13,9,1,6,1,6,,,
💯 #TaxationIsTheft https://t.co/eVN0oxRR96,1,O,0,,,,,,,,,,
"#Brasileirão 🇧🇷

🆚| #SPFCxCFC 1-1

⚽️| Luciano 
 
⚽️| Sarrafiore 
——
📊 Estatísticas:

📈 Posse: 64% - 36%
👟 Finalizações: 18 - 10
✅ Finalizações no gol: 6 - 3
🛠 Grandes chances: 2 - 1
☑️ Passes certos: 573 - 280

💯Notas SofaScore 👇 https://t.co/QiqJwUttgn",0,N,0,,,,,,,,,,
I Ain't Got Nobody To Talk To But Myself About My Problems 🤷🏽‍♂️💯💯💯,1,N,0,,,,,,,,,,
This lil kid going places 💯 😂 https://t.co/NQdYikTpOe,1,O,0,,,,,,,,,,
Do we need a daily reminder of how cold Rock Lee really was 💯 smh all he had to do was take off those ankle weights 😂😂🚫🧢 https://t.co/0NVlpXRY8V,1,O,0,,,,,,,,,,
I see you!!  @Coach_CGreen 😉🔥💯 https://t.co/fWXrIOpqEU,0,N,0,,,,,,,,,,
patada de trabuco golpe duro💯💯,0,N,0,,,,,,,,,,
💯💯💯💯 https://t.co/F3LoVxdJt4,0,N,0,,,1,,,,,,,
"🏆#LaLiga 💯#animopues #100AnosGloriosos 
⚽️ #AlavesRealMadrid 
▶️ BIDEOA

💥Alavesen mendeurreneko ekitaldiak Real Madrilen aurkako partidan 

https://t.co/0ETE1GPUxj
#eitbkirolak",0,N,0,,,,,,,,,,
STICK to the plan✍🏽👣💵💰 EVEN if the MF you planned it wit switched up🎭💯,0,N,0,,,,,,,,,,
Fight nights 👊💯 https://t.co/iQ3YNMoRu9,0,N,0,EXAMPLE,,,,,,,,,
KeyGlock Off the Porch will blow ya speakers. Helluva way to go out tho 💯,1,O,0,,,,,,,,,,
do anything for Kebe ian have it an he gave it 💯,0,N,0,,,,,,,,,,
I’m On Point Won’t Go For Nun 💯,1,O,0,,,,,,,,,,
💯📣 https://t.co/onnAqQU4jw,0,N,0,,,1,,,,,,,
😭😭😭😭😭😂😂💯🙃 https://t.co/lEoW9L7geo,0,N,0,,,1,,,,,,,
Al 💯 y en movimiento Sergio Torres Félix sigue llevando apoyo a las familias https://t.co/t8xkfjOMB8,1,O,0,,,,,,,,,,
Morning sexters💯‼️ https://t.co/BI6256w27u,0,N,0,,,,,,,,,,
💯💯💯 https://t.co/TMfFvQNPmj,0,N,0,,,,,,,,,,
"Work on you, for you 💯",1,O,0,,,,,,,,,,
People need to normalize getting tested fr 💯,1,O,0,EXAMPLE,,,,,,,,,
Fuck everybody I can’t trust nobody 💯,1,O,0,,,,,,,,,,
If I be around you I really mess with you real asf to me 🤣💕💯💯cause I cut everybody ass off this year 💯💯.,1,O,0,,,,,,,,,,
I SEE OPPORTUNITY IMMA OPPORTUNIST 💯💯💯,1,O,0,,,,,,,,,,
💯+9 😅 https://t.co/ROShQ39VXL https://t.co/8B4VX1hcbs,0,N,0,,,1,,,,,,,
couple loses but im still winning💯,1,O,0,,,,,,,,,,
It’s about finding purpose in your passion if you don’t love what you do why are you doin it💯,1,O,0,EXAMPLE,,,,,,,,,
"【手打 焔】黒磯
チャーシューワンタンメン
訪麺🍜芳醇な鶏油煌めく清湯soup！重厚で深みある鶏出汁と薫香なチャーシューの香り…コク深く絶妙な醤油感で独創性ある味わいをもたらす珠玉の逸杯♪めっちゃウマ──ッ!!
背中が語る手打ちの魂宿るザラ凹麺&amp;絶品雲呑の舌触りは唯一無二🤩
超絶美味‼️🙏💥💯 https://t.co/ETBQ3Pv2nv",1,O,0,,,,,,,,,,
💯 https://t.co/G6G2ZQ4qUU,0,N,0,,,1,,,,,,,
Might be a lil nigga but I got these GROWN BITCHES flocking 💯,1,O,0,,,,,,,,,,
2021 attitude 💯 https://t.co/T2ADFxSRZ7,0,N,0,EXAMPLE,,,,,,,,,
"おはようございます(⊃`ω´⊂)✨
へァァ……めちゃんこ寒い💦
いるまちゃんはこれから
ヘアメしてきます💗
今日もお仕事の皆さん
起きれただけでえらい〜💮💯
うまくいくおまじないを
かけておきますねっ
☆°｡⋆⸜(* ॑꒳ ॑* )⸝ https://t.co/pwae6HX9Vl",0,N,0,,,,,,,,,,
"One of my happiest moments is having variety of snacks by my side at this time of the night while watching a movie 😍.
     Happiness 💯",1,N,0,,,,,,,,,,
"🏆#LaLiga 💯#animopues #100AnosGloriosos 
⚽️ #AlavesRealMadrid 
▶️ VÍDEO

💥Actos del centenario del Alavés en el partido ante el Real Madrid 

https://t.co/uKsGnQ4X3e
#eitbkirolak",0,N,0,,,,,,,,,,
night stalker was terrible 💯🚮🚮🚮🚮,1,O,0,,,,,,,,,,
Another day. Blessed fam. Smoke up 💯,0,N,0,,,,,,,,,,
💯 https://t.co/PHnCsTDhtO,0,N,0,,,1,,,,,,,
Absolutely 💯🙊🙉🙈 https://t.co/6DvxnyKkHJ,0,N,0,,,,,,,,,,
"🌟 ⓅⓄⒼⓄⒽⓊⒷ 🌟
✨ (Boosted) Roselia ♀️ (19:54)
MOVES: Razor Leaf / Sludge Bomb
IV: 💯 (15/15/15) CP: 1656 LVL: 32
🇸🇪 Majorna, Sweden
57.648342,11.894103
#ShinyCheck - more coords &gt;&gt; @pogohubofficial",0,N,0,,,,,,,,,,
💯 https://t.co/kMPIEdzD3C,0,N,0,,,1,,,,,,,
💯💯💯💯💯💯💯💯💯💯💯 https://t.co/5p2Z56fHgM,0,N,0,,,1,,,,,,,
なんでTypeは自分で1回きりって言ったあとセフレって言って最終的に何回も受け入れてるの………????💯💯,0,N,0,,,,,,,,,,
No puedo estar pasándola tan lindo!! ❤️😍💯,1,O,0,,,,,,,,,,
"Birliktelik Her zaman Güçlüdür.
Unutmayın Sürüden Ayrılanı Kurt  Kapar...💯 https://t.co/jDCb0GgkVN",1,O,0,,,,,,,,,,
💯 https://t.co/5PSAH6viwI,0,N,0,,,1,,,,,,,
im stupid 💯,1,O,0,EXAMPLE,,,,,,,,,
Nothing but winners @OfficialWoodah proud of you brudda 💯 https://t.co/fkvF9uuIMX,1,O,0,,,,,,,,,,
#Grateful 🙏🏼💯,1,N,0,,,,,,,,,,
"💯 ""As a country we must move toward what other countries are doing in making sure mothers are taken care of.""

https://t.co/KKU1MfPh0R",1,O,0,,,,,,,,,,
Law💯 https://t.co/3HajksXnBt,0,N,0,,,,,,,,,,
Merecido @ClubDefensayJus 💪🏻💯,0,N,0,,,,,,,,,,
Check out this highlight! Junior Season💯 https://t.co/cvechH96wo,0,N,0,,,,,,,,,,
"A read... Earrings, this got real 💯  MI Dems are lucky https://t.co/A7EejrLeEx",1,O,0,,,,,,,,,,
💯💯 https://t.co/01QDfBNCLg,0,N,0,,,1,,,,,,,
Gracias 💯 https://t.co/cSLa0Ax23x,1,O,0,,,,,,,,,,
👇👇👇👇💯💯💯💯💯 https://t.co/DvCQ8y6ffJ,0,N,0,,,,,,,,,,
Watched it last night 💯 https://t.co/8eS5rOifnj,1,F,0,EXAMPLE,,1,,,,,,,
"Eh odja nha amiga la.
🤧💯 https://t.co/7ekILo2Jgj",1,N,0,,,,,,,,,,
Coffee ducks @Iam_AWard and gets booked on @urltv vs Top right after 🤣 Trash 💯,1,O,0,,,,,,,,,,
New pants dropping tommorow💯,1,F,0,EXAMPLE,,,,,,,,,
Your mind is a strong thing💯,1,O,0,,,,,,,,,,
MGA GALAWAN TALAGA NG LABLABS KO OH! 🥺💖🔥💯 https://t.co/dxys8hfG2a,1,O,0,,,,,,,,,,
Don't settle for less 💯 keep the crown on your head high 👑.,1,O,0,,,,,,,,,,
질문하는 자의 불안한 눈빛과 우리 연댚의 여유! 💯 https://t.co/8c4H2HIDxV,1,O,0,,,,,,,,,,
Working💯🌪 https://t.co/frgsjI9bgj,0,N,0,,,,,,,,,,
Blessed and Highly FAVORED‼️ Let's Go INDIANS💯💯 https://t.co/jfh43AjdiY,1,O,0,,,,,,,,,,
On This Day - January 23rd 1982. KISS' only US single from The Elder - A World Without Heroes peaks at #56 on Billboard's Hot 💯 chart. https://t.co/lPsrOFD33s,0,F,0,EXAMPLE,,,,,,,,,
"I’m proud of myself, but I didn’t do it alone. 💪🏾💯💯
#LumpSum",1,N,0,,,,,,,,,,
Love the mask and bandanna @DoeDoLLa 💯😷🔝 https://t.co/6sjT8vDAES,1,O,0,,,,,,,,,,
💯 this https://t.co/egVp0qLE2z,0,N,0,,,,,,,,,,
"Shoutout to @hollyhoodbaybay 🙏🏽💯 
@50cent  December’s party was lit🔥🔥🔥. https://t.co/ZwlLmOuBJt",0,N,0,,,,,,,,,,
"✨ Pelipper ✨ ♂️
IV: 💯 ( 15/15/15 ) CP: 1914 LVL: 33
Dsp IN: (05:31)
-36.841692,174.765298
#PogoConnection",0,N,0,,,,,,,,,,
Stop the Rain playing atm!!! Mr Tickles said the riff is 👌👌👌👌 and yes indeed it is🤧💯,1,O,0,,,,,,,,,,
hamido arjal rajil 💯,0,N,0,,,,,,,,,,
"sadu:
l'yhovi: hiiiiiii 💯",0,N,0,,,,,,,,,,
A MAN in yo corner🤞🏾 is waaaaayy different than a nigga JUST in ya BED 🥴💯💪🏾,1,O,0,,,,,,,,,,
Big s/o to @beebrizee 💯,1,N,0,,,,,,,,,,
"Tendencia en Perú, lo conseguimos.. 🤟🏻🎉🥳        #edabolat 👰💗💯 #SenÇalKapimi🥳🥳 #HandeErçel✨💐👰 #KeremBürsin 🤖 🤵 https://t.co/SJ1qjwtBGy",0,N,0,,,,,,,,,,
"🌟 ⓅⓄⒼⓄⒽⓊⒷ 🌟
✨ (Boosted) Roselia ♂️ (27:41)
MOVES: Razor Leaf / Sludge Bomb
IV: 💯 (15/15/15) CP: 534 LVL: 10
🇺🇸 Warner Robins, United States
32.634572,-83.651592
#ShinyCheck - more coords &gt;&gt; @pogohubofficial",0,N,0,,,,,,,,,,
"🌟 ⓅⓄⒼⓄⒽⓊⒷ 🌟
✨ (Boosted) Meditite ♀️ (22:09)
MOVES: Confusion / Ice Punch
IV: 💯 (15/15/15) CP: 475 LVL: 24
🇵🇫 Papeete, French Polynesia
-17.544655,-149.580667
#ShinyCheck - more coords &gt;&gt; @pogohubofficial",0,N,0,,,,,,,,,,
"51.53133, -0.12151
Nincada 💯cp106 #ShinyCheck",0,N,0,,,,,,,,,,
Well deserved 💯 https://t.co/V4czLHpBKS,1,O,0,,,,,,,,,,
Re locoos la pasamos mejorrr💯,1,O,0,,,,,,,,,,
💯💯💯💯 https://t.co/VQX1smA60e,0,N,0,,,1,,,,,,,
💯💯💯💃🏿😍 https://t.co/UyMH5fNR52,0,N,0,,,1,,,,,,,
Vean la promoción que tenemos hoy y mañana 💯📦🤩😍. https://t.co/DGGFxmsqAi,0,N,0,,,,,,,,,,
I might be on you for a minute but once I’m off you there ain’t no going back 😭💯,1,O,0,,,,,,,,,,
Stop texting an calling ppl first bet u wont hear frm them nm💯👌🏾,1,O,0,,,,,,,,,,
Otdns 💯🙇🏽‍♀️ https://t.co/yaBEL5W9lZ,1,N,0,,,,,,,,,,
Dam 1 month too 💔💯,0,N,0,,,,,,,,,,
💯 https://t.co/1FwK6rBNWG,0,N,0,,,1,,,,,,,
Mcgregor Madness tonight 💯👊👑☘️,1,N,0,,,,,,,,,,
Mds💯 https://t.co/ggFIuTYxjc,0,N,0,,,,,,,,,,
3 months 👌🏼 gracias a dios 💯 https://t.co/OdfwNHrK01,0,N,0,,,,,,,,,,
"✨ Spheal ✨ ♀️
IV: 💯 ( 15/15/15 ) CP: 852 LVL: 32
Dsp IN: (22:27)
45.021562,-93.469753
#PogoConnection",0,N,0,,,,,,,,,,
Wish He Would Of Got A Ring He Deserves It 🤦🏾‍♂️💯💪🏾 https://t.co/Ul7fYxK7X5,1,O,0,,,,,,,,,,
Im just ready to see my bank account numbers tripling 💯 I love money,1,O,0,,,,,,,,,,
Jeje pero mira el tuit de rusiatoday con Putin y sus perritos awwwww 😍💯🤙🏻 https://t.co/EWcDnEBtJ1,0,N,0,,,,,,,,,,
Uhummm aprendi a jogar sinuca no rolê 💯 https://t.co/f3dz1jnpvE,0,N,0,,,,,,,,,,
💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💯 https://t.co/ZZP3GJmcJk,0,N,0,,,,,,,,,,
You can do what you want when you got money💯,1,O,0,,,,,,,,,,
All it take is 1 mistake &amp; it ah cost ya life 💯,1,O,0,,,,,,,,,,
"昨日の酔っぱらいねここはちゃんとSSを撮っててくれたみたいなので記憶の修復が完了した( ･´ｰ･｀)
えらいっ！💯",1,N,0,,,,,,,,,,
"51.47394, -0.10943
Nincada 💯cp549 #ShinyCheck",0,N,0,,,,,,,,,,
Mfs be odd bro 🤣 I swear 💯,1,O,0,,,,,,,,,,
I’m not satisfied with what I got but I’m grateful 💯,1,O,0,,,,,,,,,,
College is college it doesn’t matter what college you go to you did that 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾💯 https://t.co/uJBcwo16bX,1,O,0,,,,,,,,,,
💯💯💯 https://t.co/02LMWNFw2T,0,N,0,,,1,,,,,,,
Ion get enough support. They gon regret Dat 💯✅🥱,1,O,0,,,,,,,,,,
Listen this phone gotta go 💯😐,1,O,0,,,,,,,,,,
Fresh start of all parties thank you Stafford! 💯 https://t.co/VMQXVGf5eu,0,N,0,,,,,,,,,,
"l'amour &gt; covid 
sans amour, nous serions perdus 💯 Quelles choses vous apportent l'amour en ces temps?
#Covid_19 #amour #love https://t.co/k5Yc3L8fk2",1,O,0,,,,,,,,,,
Como todo buen Catracho y ya con todo el apetito recuperado al 💯 #pollitocontajadas y unas #baleadas 🍽😋 @ Washington D.C. https://t.co/r2kbFR9mJs,0,N,0,,,,,,,,,,
La birrita en el patio🤤💯,0,N,0,,,,,,,,,,
💯🚦 https://t.co/pHezz5p8Eb,0,N,0,,,1,,,,,,,
💯 https://t.co/BJrqlySh24,0,N,0,,,1,,,,,,,
💯 https://t.co/SujCtkbvKD,0,N,0,,,1,,,,,,,
“I tell u I’m good cuz if I ain’t u ain’t goin do shit”💯 @YGTECK_AFTM,1,O,0,,,,,,,,,,
💯% 👇🏻 https://t.co/BkrJl18s14,0,N,0,,,1,,,,,,,
das wort clubhouse muten🙏💯,0,N,0,,,,,,,,,,
El fernecito en el balcón con mí hermano❤️💯,0,N,0,,,,,,,,,,
send that boy matthew stafford to the patriots 💯,1,O,0,EXAMPLE,,,,,,,,,
Just caught up with everything and I ain't talking homework 💯,1,N,0,,,,,,,,,,
"BIENVENIDAS MIS TAN ESPERADAS VACACIONES 💓🥳 

Quiero llegar y abrazar a mi hijo. Una semana no recompensa todo mi tiempo perdido con él pero voy a disfrutarlo al 💯",0,N,0,,,,,,,,,,
The problem is. Everyone in their starting 5 are offensive superstars but defensive liabilities... and the Cavs beating them twice in the same week proved that💯 https://t.co/tJyR4FgAp9,1,O,0,EXAMPLE,,,,,,,,,
"━━━━━━━━━
💙 *_TEAMⓂYSTiC💙ARG_*💙
━━━━━━━━━
✨ 🦎 *GROUDON* 🦎✨
*POTENCIADO/BOOSTED*
💯=2️⃣9️⃣3️⃣9️⃣

*GYM 1: JUEGOS DE PLAZA*
*🇦🇷 GYM EX* 🇦🇷
⏳ *_1ra Ronda_: 20:55 // xx:55*
*CC GYM:*
-34.544187,-58.476998
#ExRaids",0,N,0,,,,,,,,,,
"━━━━━━━━━
     💙 *_TEAMⓂYSTiC💙ARG_*💙
                ━━━━━━━━━

  ✨ 🦎 *GROUDON* 🦎✨

       *POTENCIADO/BOOSTED*

      💯=  2️⃣9️⃣3️⃣9️⃣

*GYM 1: JUEGOS DE PLAZA*

*🇦🇷 GYM EX* 🇦🇷

⏳ *_1ra Ronda_: 20:55 // xx:55*

*CC GYM:*
-34.544187,-58.476998
#ExPassGym",0,N,0,,,,,,,,,,
"🌟 ⓅⓄⒼⓄⒽⓊⒷ 🌟
✨ (Boosted) Baltoy (XL) (27:20)
MOVES: Confusion / Gyro Ball
IV: 💯 (15/15/15) CP: 629 LVL: 28
🇺🇸 Whittingham, United States
40.285626,-74.266854
#ShinyCheck - follow us see pined link",0,N,0,,,,,,,,,,
💯 https://t.co/14tMAFNVuZ,0,N,0,,,1,,,,,,,
"🌟 ⓅⓄⒼⓄⒽⓊⒷ 🌟
✨ Roselia ♀️ (14:50)
MOVES: Poison Jab / Petal Blizzard
IV: 💯 (15/15/15) CP: 139 LVL: 3
🇫🇷 Le Mans, France
47.964941,0.225464
#ShinyCheck - follow us see pined link",0,N,0,,,,,,,,,,
